accuracy,loss,val_accuracy,val_loss,learning_rate
0.5232800245285034,1.9629559516906738,0.4083999991416931,2.1258745193481445,0.004999999888241291
0.6299999952316284,1.4242901802062988,0.4828999936580658,1.8077812194824219,0.004999999888241291
0.671239972114563,1.2946125268936157,0.4846000075340271,2.0184004306793213,0.004999999888241291
0.6952800154685974,1.219997525215149,0.47290000319480896,1.912109613418579,0.004999999888241291
0.7155600190162659,1.1625934839248657,0.4855000078678131,1.964264988899231,0.004999999888241291
0.7269999980926514,1.1224370002746582,0.6496000289916992,1.3410894870758057,0.004999999888241291
0.7358199954032898,1.082881212234497,0.5583999752998352,1.6358414888381958,0.004999999888241291
0.7438399791717529,1.0519925355911255,0.5126000046730042,1.8026667833328247,0.004999999888241291
0.7518399953842163,1.0177384614944458,0.6273000240325928,1.455915093421936,0.004999999888241291
0.7541999816894531,1.0078686475753784,0.5727999806404114,1.593970775604248,0.004999999888241291
0.760919988155365,0.9889209866523743,0.5357000231742859,1.6949557065963745,0.004999999888241291
0.763979971408844,0.9712309241294861,0.5967000126838684,1.5781804323196411,0.004999999888241291
0.7653800249099731,0.9618697166442871,0.560699999332428,1.6378980875015259,0.004999999888241291
0.7663999795913696,0.9525006413459778,0.5309000015258789,1.8643441200256348,0.004999999888241291
0.7724199891090393,0.9440897703170776,0.6370999813079834,1.4780374765396118,0.004999999888241291
0.7720000147819519,0.9344950914382935,0.6309999823570251,1.4420859813690186,0.004999999888241291
0.8314800262451172,0.7475481033325195,0.8069000244140625,0.8019283413887024,0.0004999999655410647
0.8530399799346924,0.6557103395462036,0.8044000267982483,0.7810616493225098,0.0004999999655410647
0.864579975605011,0.6006029844284058,0.8084999918937683,0.7554783821105957,0.0004999999655410647
0.8754600286483765,0.5575509667396545,0.8105999827384949,0.7404484152793884,0.0004999999655410647
0.8833600282669067,0.5218546390533447,0.8084999918937683,0.7375397682189941,0.0004999999655410647
0.8934400081634521,0.4911419153213501,0.8032000064849854,0.7606216073036194,0.0004999999655410647
0.9015799760818481,0.46360334753990173,0.794700026512146,0.7961728572845459,0.0004999999655410647
